"통계분류(1)",통계분류(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,역사 지리,가정육아요리,시소설수필,무협판타지추리소설,예술문화,재테크부동산,어학컴퓨터,과학 기술,기 타,사례수,계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),역사 지리,가정육아요리,예술문화,재테크부동산,어학컴퓨터,문학도서,사례수,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),역사 지리,가정육아요리,예술문화,문학도서,사례수,계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),어학 외국어,역사 지리,가정육아요리,예술문화,재테크부동산,문학도서,사례수,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),가정육아요리,문학도서,사례수,취미오락여행건강,경제 경영,수필,철학 사상 종교,시(동시),재테크,자기계발서,정치사회시사,소설( 장르 소설 포함),어학 외국어,역사 지리,가정육아요리,사례수,소설(동화 장르소설),취미오락여행건강,경제 경영,수필,철학 사상 종교,시(동시),재테크,자기계발서,과학기술컴퓨터,정치사회시사,기 타
"연간 독서량",없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1433,100,12.7,7.9,9.8,9.8,4.8,12.1,2.1,3,5.8,4.5,3.2,22.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 독서량",1~5권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,458,100,15.7,8.1,10.2,7.9,3.5,10,1.7,6.5,4.2,4.6,2.5,24,977,12.5,7.8,9.3,8.6,4.1,12,3.1,6.7,3.7,26.6,883,100,9.7,7.3,10.5,9.7,4.9,15,2.6,4.3,5,3.5,2.5,22.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,823,28,11.1,10.2,8.3,8.9,7.7,5.8,3.8,2.6,3.3,10.2
"연간 독서량",6~10권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,531,100,12,8.1,11.1,8.5,3.8,9.8,3,6.5,3.3,2.9,2.5,27,1131,11.7,6.3,10.7,9.2,3.3,12.6,3.5,5.5,3.6,27.5,239,100,7.7,7.1,10.2,8.6,6,13.5,4.7,4,2.9,5.2,1.8,26.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,418,33.7,10.4,10.8,6.7,6.8,6.9,6.8,3.8,4.1,2.9,7.1
"연간 독서량",11~15권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,100,9.4,6.2,11.8,10.6,3.2,12.4,3.8,5.7,4,1.4,2.6,27.6,516,10.3,7.1,9,8.6,4.1,12.9,4.4,4.3,5,27.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,37,7.6,6.1,10.7,7.1,4.1,2.3,13,1.6,3.8,6.8
"연간 독서량",16~20권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,100,10.5,5.7,8.2,13.4,4.9,8.6,2.4,5,2.9,6.7,0,29.3,176,11.7,6.7,7.9,9.4,3.5,15.3,4.4,6.2,3.3,24.6,365,100,12.2,7.5,12.1,7.1,4,11.1,2.4,3.9,5.9,3.2,3.6,24.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,21.7,6.4,16.7,10.9,9.9,4.1,3.5,6.5,3.4,2.4,14.5
"연간 독서량",21권 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,186,100,6.8,4.9,12.5,12.2,5.4,10.1,5.1,5.7,3.6,1.8,1.4,30,466,10.4,5.7,11,9.9,4.7,2.9,3.6,4.2,13.7,27.3,672,100,9.1,7.7,10.1,8.6,4.2,13.2,3.4,4.9,5.4,3.7,2,25.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,42,9.6,9.2,4.9,4.5,1.7,4.4,6.5,6.9,0.4,9.9
"직업",경영 관리직,100,6.2,7.5,12.7,8.3,14.7,5.5,0,23.8,6.5,5.1,7.2,0.6,1.6,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",사무직,100,15.7,7.9,7.7,7.9,6.4,2.1,4.4,30.7,9.7,2.4,3.2,1.4,0.6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",서비스 판매직,100,25,3.9,5.8,5.9,4.7,1.4,7.6,22.4,10.4,4.2,5.9,2.1,0.5,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",생산직,100,25.9,5.4,9.4,6.9,7.5,1.4,4.9,19,7.9,4,4.4,1,1.5,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",자영업,100,19,9,10.1,6.8,8.5,3.9,5.4,23.2,6.1,2.5,4.5,0.1,0.6,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",전업주부,100,22.6,2.8,10.2,6.3,2,2.2,13.4,27.6,3.5,5.1,3.3,0.6,0.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",학생,100,9.8,4.3,6,10.6,3.4,4.9,1.2,34.2,13.5,5.7,0,3.9,2.3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",은퇴무직기타,100,17.5,4.5,18.2,8.9,6.8,3.9,2,16.5,10.9,5,2.3,2,0.5,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
