순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
263,국내도서,초판본 어린 왕자 (무선),280504630 ,9791164455300 ,3860,"앙투안 드 생텍쥐페리 지음, 김미정 옮김",더스토리,20211004,"2,990","2,700",140점,41699,소설/시/희곡
264,국내도서,최선을 다하면 죽는다,317970481 ,9788954693509 ,4810,황선우.김혼비 지음,문학동네,20230607,"15,000","13,500",750점,5158,에세이
265,국내도서,이방인,212246612 ,9788937443848 ,,"알베르 카뮈 지음, 김화영 옮김",민음사,20190902,"10,000","9,000",500점,57093,소설/시/희곡
266,국내도서,아는 만큼 보인다 : 한 권으로 읽는 나의 문화유산답사기,318457656 ,9788936479381 ,3810,유홍준 지음,창비,20230609,"22,000","19,800","1,100점",11040,인문학
267,국내도서,NEW 미꽃체 손글씨 노트,319559579 ,9791161507200 ,,최현미 지음,시원북스,20230627,"16,700","15,030",830점,21981,건강/취미
268,국내도서,사피엔스 (양장 특별판),308632457 ,9788934943235 ,3900,"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,20230127,"30,000","27,000","1,500점",9334,인문학
269,국내도서,도쿄 에일리언즈 6,314431583 ,9791136766236 ,,"NAOE 지음, 박소현 옮김",서울미디어코믹스(서울문화사),20230428,"6,000","5,400",300점,5338,만화
270,국내도서,쿼런틴,307210299 ,9791190090780 ,3840,"그렉 이건 지음, 김상훈 옮김",허블,20221221,"17,500","15,750",870점,6748,소설/시/희곡
271,국내도서,나는 오래된 거리처럼 너를 사랑하고,300364309 ,9788932040448 ,3810,진은영 지음,문학과지성사,20220831,"12,000","10,800",600점,22789,소설/시/희곡
272,국내도서,이끼숲,315688137 ,9791191824216 ,3810,천선란 지음,자이언트북스,20230504,"15,800","14,220",790점,9319,소설/시/희곡
273,국내도서,불안의 서,39212974 ,9788996997962 ,3870,"페르난두 페소아 지음, 배수아 옮김",봄날의책,20140327,"28,000","25,200","1,400점",28243,에세이
274,국내도서,시간이 있었으면 좋겠다,308425518 ,9791198068408 ,3810,김신지 지음,잠비,20230120,"16,800","15,120",840점,5261,에세이
275,국내도서,해커스 토익 실전 1000제 2 RC Reading(리딩) 문제집,307089507 ,9788965425380 ,13740,해커스어학연구소 지음,해커스어학연구소(Hackers),20230403,"11,900","10,710",590점,14383,외국어
276,국내도서,천하제일 치킨쇼,308285666 ,9788949121994 ,74800,"이희정 지음, 김무연 그림",비룡소,20230106,"14,000","12,600",700점,5390,어린이
277,국내도서,봇치·더·록! 5,353137462 ,9791172886820 ,7830,하마지 아키 지음,대원씨아이(만화),20230510,"9,000","8,100",450점,1473,만화
278,국내도서,이상한 과자 가게 전천당 18,320574790 ,9791164065530 ,73830,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",길벗스쿨,20230724,"13,000","11,700",650점,4982,어린이
279,국내도서,한 권으로 끝내는 토익 실전 LC + RC 1 (모의고사 문제집 + 해설집),315041298 ,9788965425915 ,13740,해커스어학연구소 지음,해커스어학연구소(Hackers),20230703,"17,900","16,110",890점,14438,외국어
280,국내도서,어느 작가의 오후,327281303 ,9791168341494 ,,"프랜시스 스콧 피츠제럴드 지음, 무라카미 하루키 엮음, 서창렬 외 옮김",인플루엔셜(주),20231129,"16,800","15,120",840점,11184,소설/시/희곡
281,국내도서,주식투자 최적의 타이밍을 잡는 법,257345260 ,9791191228366 ,3320,"스탠 와인스타인 지음, 우승택 옮김",플로우,20201207,"22,000","19,800","1,100점",10259,경제경영
282,국내도서,무기가 되는 스토리,169019534 ,9791155811856 ,3320,"도널드 밀러 지음, 이지연 옮김",윌북,20180930,"16,800","15,120",840점,18109,자기계발
283,국내도서,2025 수제비 정보처리기사 실기 기본서,356476589 ,9791198881045 ,3500,윤영빈 외 지음,수제비,20250210,"40,000","36,000","2,000점",11779,컴퓨터/모바일
284,국내도서,천문학자는 별을 보지 않는다,264291562 ,9788954677257 ,3810,심채경 지음,문학동네,20210222,"15,000","13,500",750점,16503,에세이
285,국내도서,아비투스 (양장),313961252 ,9791130698366 ,3300,"도리스 메르틴 지음, 배명자 옮김",다산초당(다산북스),20230324,"22,000","19,800","1,100점",19246,인문학
286,국내도서,하나님의 열심,127247882 ,9791187506072 ,3230,박영선 지음,무근검(남포교회출판부),20171229,"20,000","18,000","1,000점",27320,종교/역학
287,국내도서,해커스 토익 스타트 LC Listening (리스닝) 입문서,222371972 ,9788965423386 ,13740,David Cho 지음,해커스어학연구소(Hackers),20240902,"14,900","13,410",740점,34279,외국어
288,국내도서,경제기사 궁금증 300문 300답,353651317 ,9791191183337 ,3320,곽해선 지음,혜다,20241220,"26,000","23,400","1,300점",13122,경제경영
289,국내도서,아주 위험한 과학책,315157584 ,9791169257176 ,3400,"랜들 먼로 지음, 이강환 옮김",시공사,20230427,"23,000","20,700","1,150점",8057,과학
290,국내도서,블루 아카이브 오피셜 아트웍스 (한정판),319150868 ,9791141109318 ,,"신민섭 옮김, NEXON GAMES 감수",학산문화사(만화),20230825,"98,000","88,200","4,900점",3275,만화
291,국내도서,스토너,51001915 ,9788925554990 ,3840,"존 윌리엄스 지음, 김승욱 옮김",알에이치코리아(RHK),20150102,"16,800","15,120",840점,117307,소설/시/희곡
292,국내도서,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,329565340 ,9791171171989 ,3320,송민섭(수페TV) 지음,21세기북스,20231206,"24,000","21,600","1,200점",26698,경제경영
293,국내도서,채사장의 지대넓얕 6 : 성장 VS 분배,313551311 ,9791197578465 ,,"채사장.마케마케 지음, 정용환 그림",돌핀북,20230405,"15,000","13,500",750점,5927,어린이
294,국내도서,순도 100퍼센트의 휴식,319302446 ,,3810,박상영 지음,인플루엔셜(주),20230630,"16,800","15,120",840점,4151,에세이
295,국내도서,체인소 맨 14,328477993 ,9791141109561 ,,후지모토 타츠키 지음,학산문화사(만화),20231109,"6,000","5,400",300점,10402,만화
296,국내도서,흔한남매 12,305184146 ,9791168414471 ,77810,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,20221130,"14,500","13,050",720점,13486,어린이
297,국내도서,이걸 내 마음이라고 하자,318188259 ,9788954693370 ,3810,황인찬 지음,문학동네,20230615,"12,000","10,800",600점,7807,소설/시/희곡
298,국내도서,한국형 가치투자,312664365 ,9791189318413 ,3320,최준철.김민국 지음,이콘,20230315,"18,000","16,200",900점,7125,경제경영
299,국내도서,나 없이는 존재하지 않는 세상,329364315 ,9791165348472 ,3400,"카를로 로벨리 지음, 김정훈 옮김, 이중원 감수",쌤앤파커스,20231201,"18,000","16,200",900점,23605,과학
300,국내도서,만화 데뷔 못 하면 죽는 병 걸림 1 (한정판),318688944 ,9791140472017 ,4810,"소흔 지음, 백덕수 원작, 장진 각색",파인툰,20230825,"49,000","44,100","2,450점",7988,만화
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,좋은 책을 고르는 방법, 알라딘!! www.aladin.co.kr,,,,,,,,,,
