title,isbn,writer,publisher,Pub_date,re_price,sa_price,genre
다정한 것이 살아남는다,9791197413025.0,"브라이언 헤어.버네사 우즈 지음, 이민아 옮김, 박한선 감수",디플롯,20210726.0,"22,000","19,800",과학
오만과 편견,9788937460883.0,제인 오스틴 지음,민음사,20030920.0,"13,000","11,700",소설/시/희곡
최강록의 요리 노트,9791192512419.0,최강록 지음,클,20230814.0,"16,800","15,120",요리/살림
10일 만에 끝내는 해커스 OPIc 오픽 START (Intermediate 공략),9791137910522.0,해커스 오픽연구소 지음,(주)해커스,20230824.0,"25,000","22,500",외국어
당신 인생의 이야기,9788956057842.0,"테드 창 지음, 김상훈 옮김",엘리,20161014.0,"17,000","15,300",소설/시/희곡
달러는 왜 비트코인을 싫어하는가,9791161340333.0,"사이페딘 아모스 지음, 위대선 옮김",터닝포인트,20181210.0,"17,000","15,300",경제경영
해리 포터와 마법사의 돌 (미나리마 에디션),9788983928207.0,"J.K. 롤링 지음, 미나리마 그림, 강동혁 옮김",문학수첩,20201020.0,"33,000","29,700",소설/시/희곡
ETS 토익 정기시험 기출입문서 RC 리딩,9788917238594.0,ETS 지음,와이비엠,20211220.0,"15,000","13,500",외국어
어느 멋진 여행,9788962475838.0,"팻 지틀로 밀러 지음, 엘리자 휠러 그림, 임경선 옮김",위즈덤하우스,20211006.0,"13,500","12,150",유아
"칵테일, 러브, 좀비 (리커버)",9791190174756.0,조예은 지음,안전가옥,20200413.0,"13,000","11,700",소설/시/희곡
회색 인간,9791196222628.0,김동식 지음,요다,20171227.0,"13,000","11,700",소설/시/희곡
어린 왕자,9788932917245.0,"앙투안 드 생텍쥐페리 지음, 황현산 옮김",열린책들,20151020.0,"11,800","10,620",소설/시/희곡
아이주도 이유식 유아식 매뉴얼 세트,9791195616169.0,BLW 연구소.안소정 지음,아퍼블리싱,20210831.0,"23,500","21,150",요리/살림
내 이름은 태양꽃,9788982814792.0,"한강 동화, 김세현 그림",문학동네,20020311.0,"8,500","7,650",소설/시/희곡
